condition,collisions,avoidance_attempts,successful_avoidances,failed_avoidances,avoidance_success_rate_percent,off_road_frames,average_speed,average_stable_lane_error_px,average_nearest_lane_error_px,average_perception_lane_error_px,perception_failure_frames,average_heading_error_deg,average_steering_change,emergency_events,slow_events,minimum_edge_clearance_px,average_lane_change_duration_frames
CLEAN,3,4,3,1,75.0,0,7.313668000000028,1.036835333199944,19.963237863324437,2.3710454152425133,0,6.347833786301597,0.008242889049776932,11,2,0.0,128.0
NOISE,3,3,3,0,100.0,0,7.256829000000052,3.22497993517505,15.843842416252931,1.6731436716715495,0,5.51785057113162,0.006878240467482853,18,2,0.0,185.5
BLUR,3,4,3,1,75.0,0,7.352629000000029,2.354752401573047,20.223080526399958,4.839083689371744,0,6.28854651430955,0.008372804797138094,8,2,0.0,128.0
LOW_CONTRAST,3,3,2,0,100.0,0,7.221932000000053,8.054004094237218,19.51779637001187,7.207648676554362,0,5.675633940329591,0.006583161762334749,18,2,0.0,208.5
OCCLUSION,2,3,3,0,100.0,0,7.434796000000059,3.2804556246134835,16.77146866090021,2.6735811564127605,0,5.634112763631979,0.007077895970413182,18,2,0.0,185.5
